month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Jan,Bus Passengers,,,,,,,,,,,,,,,,,,
Jan,Buses,,,,,,,,,,,,,,,,,,
Jan,Pedestrians,,,,,,,,,,,,,,,,,,
Jan,Personal Vehicle Passengers,,59.161148,4.715673,-7.682119,-1.865136,-1.169591,9.467456,-2.567568,-72.399445,2.512563,-25,5.882353,-100,,4.123711,-23.762376,62.337662,-34.4
Jan,Personal Vehicles,,80.099502,-12.707182,-6.012658,-100,,6.129032,13.981763,-75.466667,-3.26087,-20.224719,11.267606,-100,,8.510638,-17.647059,159.52381,-59.633028
Jan,Rail Containers Empty,,,,,,,,,,,,,,,,,,
Jan,Rail Containers Loaded,,,,,,,,,,,,,,,,,,
Jan,Total People,,65.59633,-1.108033,-7.189542,-31.187123,44.152047,8.41785,2.525725,-73.448905,0.687285,-23.549488,7.589286,-100,,5.555556,-21.710526,96.638655,-46.153846
Jan,Total Vehicles,,14.285714,-75,450,-36.363636,985.714286,-78.947368,512.5,-100,,900,-100,,400,-30,-100,,-85
Jan,Train Passengers,,,,,,,,,,,,,,,,,,
Jan,Trains,,,,,,,,,,,,,,,,,,
Jan,Truck Containers Empty,,,,,,,,100,-100,,,-100,,-100,,,,
Jan,Truck Containers Loaded,,,,,,,,666.666667,-100,,700,-100,,,-100,,,
Jan,Trucks,,14.285714,-75,450,-36.363636,985.714286,-89.473684,500,-100,,900,-100,,400,40,-100,,-85
Feb,Bus Passengers,,,,,,,,,,,,,,,,,,
Feb,Buses,,,,,,,,,,,,,,,,,,
Feb,Pedestrians,,,,,,,,,,,,,,,,,,
Feb,Personal Vehicle Passengers,,-15.076072,-0.814332,18.062397,-2.781641,-9.012876,8.490566,-16.376812,-63.604853,-4.761905,-51.5,-2.061856,65.263158,-27.388535,-100,,-15.306122,-100
Feb,Personal Vehicles,,40.784314,-18.941504,13.402062,-4.242424,-3.481013,-8.196721,8.571429,-64.473684,-8.333333,-56.565657,18.604651,47.058824,-34.666667,-100,,0,-100
Feb,Rail Containers Empty,,,,,,,,,,,,,,,,,,
Feb,Rail Containers Loaded,,,,,,,,,,,,,,,,,,
Feb,Total People,,-0.511247,-7.502569,16.555556,-3.241182,-7.29064,3.081828,-9.175258,-63.904654,-5.974843,-53.177258,4.285714,58.90411,-29.741379,-100,,-9.868421,-100
Feb,Total Vehicles,,9.090909,-75,300,0,200,-55.555556,-50,-50,950,-52.380952,-100,,,,-33.333333,750,-100
Feb,Train Passengers,,,,,,,,,,,,,,,,,,
Feb,Trains,,,,,,,,,,,,,,,,,,
Feb,Truck Containers Empty,,,,,,,,-75,-100,,,-100,,,,,,
Feb,Truck Containers Loaded,,,,,,,,-25,-33.333333,950,-100,,,,,,,
Feb,Trucks,,9.090909,-75,300,0,200,-77.777778,-50,-50,950,-52.380952,-100,,,,-33.333333,750,-100
Mar,Bus Passengers,,,,,,,,,,,,,,,,,,
Mar,Buses,,,,,,,,,,,,,,,,,,
Mar,Pedestrians,,,,,,,,,,,,,,,,,,
Mar,Personal Vehicle Passengers,,11.730205,9.448819,-2.038369,-5.997552,17.838542,-27.624309,-44.732824,-38.39779,-7.174888,-34.299517,26.470588,-100,,7.092199,-12.582781,-3.030303,-100
Mar,Personal Vehicles,,21.782178,13.279133,-10.526316,-4.545455,11.484594,-29.145729,-14.184397,-53.305785,-15.044248,-30.208333,38.80597,-100,,22.535211,-10.344828,0,-100
Mar,Rail Containers Empty,,,,,,,,,,,,,,,,,,
Mar,Rail Containers Loaded,,,,,,,,,,,,,,,,,,
Mar,Total People,,14.822335,10.698497,-4.872204,-5.541562,15.822222,-28.089025,-35.538954,-44.370861,-9.821429,-33.0033,30.541872,-100,,12.264151,-11.764706,-1.904762,-100
Mar,Total Vehicles,,-88,-33.333333,600,-28.571429,460,-73.214286,-53.333333,-71.428571,400,-100,,0,1700,-77.777778,-50,-100,
Mar,Train Passengers,,,,,,,,,,,,,,,,,,
Mar,Trains,,,,,,,,,,,,,,,,,,
Mar,Truck Containers Empty,,,,,,,200,33.333333,-100,,-100,,,,-100,,,
Mar,Truck Containers Loaded,,,,,,,-81.481481,-100,,400,-100,,,,-100,,,
Mar,Trucks,,-88,-33.333333,600,-28.571429,180,-75,-57.142857,-66.666667,300,-100,,0,800,-55.555556,-50,-100,
Apr,Bus Passengers,,,,,,,,,,,,,,,,,,
Apr,Buses,,,,,,,,,,,,,,,,,,
Apr,Pedestrians,,,,,,,,,,,,,,,,,,
Apr,Personal Vehicle Passengers,,91.637631,-9.636364,-11.569416,-1.023891,3.103448,-22.073579,-19.456366,-55.772647,6.024096,-30.30303,11.413043,-100,,-11.956522,-25.925926,-1.666667,-100
Apr,Personal Vehicles,,104.065041,-4.780876,-17.573222,-6.345178,13.550136,-21.24105,-5.454545,-57.692308,-21.212121,-24.038462,30.379747,-100,,11.235955,-32.323232,-10.447761,-100
Apr,Rail Containers Empty,,,,,,,,,,,,,,,,,,
Apr,Rail Containers Loaded,,,,,,,,,,,,,,,,,,
Apr,Total People,,95.365854,-8.114856,-13.519022,-2.670856,6.214689,-21.808511,-14.965986,-56.457143,-3.412073,-28.532609,17.110266,-100,,-4.395604,-28.35249,-4.812834,-100
Apr,Total Vehicles,,16.666667,-14.285714,66.666667,40,114.285714,13.333333,-11.764706,-93.333333,1000,-86.363636,433.333333,-93.75,300,-75,-100,,-100
Apr,Train Passengers,,,,,,,,,,,,,,,,,,
Apr,Trains,,,,,,,,,,,,,,,,,,
Apr,Truck Containers Empty,,,,,,,133.333333,-42.857143,-100,,-100,,-100,,,,,
Apr,Truck Containers Loaded,,,,,,,-8.333333,0,-90.909091,800,-88.888889,-100,,,,,,
Apr,Trucks,,16.666667,-14.285714,66.666667,40,7.142857,6.666667,-6.25,-93.333333,1000,-81.818182,300,-87.5,300,-75,-100,,-100
May,Bus Passengers,,-100,,-100,,,,,,,,,,,,,,
May,Buses,,-100,,-100,,,,,,,,,,,,,,
May,Pedestrians,,,,,,,,,,,,,,,,,,
May,Personal Vehicle Passengers,,10.696762,-6.648936,6.932574,-2.220249,-7.175295,-0.978474,-44.367589,-53.463588,-5.725191,-20.647773,-7.653061,-100,,-27.777778,-37.362637,0,-100
May,Personal Vehicles,,18.303571,1.698113,1.669759,-10.218978,-4.878049,-3.632479,-30.820399,-62.5,3.418803,-18.181818,-4.040404,-100,,-23.134328,-30.097087,62.5,-100
May,Rail Containers Empty,,,,,,,,,,,,,,,,,,
May,Rail Containers Loaded,,,,,,,,,,,,,,,,,,
May,Total People,,9.511229,-1.749095,2.762431,-4.83871,-6.465788,-1.812081,-40.191388,-56.685714,-2.902375,-19.836957,-6.440678,-100,,-26.165803,-34.736842,24.193548,-100
May,Total Vehicles,,25,10,54.545455,111.764706,36.111111,-53.061224,60.869565,-62.162162,14.285714,93.75,-70.967742,-77.777778,150,-80,-100,,
May,Train Passengers,,,,,,,,,,,,,,,,,,
May,Trains,,,,,,,,,,,,,,,,,,
May,Truck Containers Empty,,,,,,,-50,120,-63.636364,50,116.666667,-100,,,,,,
May,Truck Containers Loaded,,,,,,,-46.153846,14.285714,-62.5,-33.333333,0,-100,,,,,,
May,Trucks,,42.857143,0,70,111.764706,-27.777778,-57.692308,63.636364,-61.111111,14.285714,100,-43.75,-77.777778,150,-80,-100,,
Jun,Bus Passengers,,,-76.551724,123.529412,-100,,-100,,,,,,,,,,,
Jun,Buses,,,-75,100,-100,,-100,,,,,,,,,,,
Jun,Pedestrians,,,,,,,-100,,,,,,,,,,,
Jun,Personal Vehicle Passengers,,27.079304,-8.828006,4.590985,-13.647247,12.292052,-1.069959,-49.584027,-6.765677,-58.230088,17.372881,-100,,,-19.243986,-43.829787,49.242424,-100
Jun,Personal Vehicles,,37.44186,2.199662,3.476821,-20.32,-0.803213,5.060729,-43.737958,-39.383562,-35.028249,17.391304,3.703704,-100,,-2.040816,-50,69.444444,-100
Jun,Rail Containers Empty,,,,,,,,,,,,,,,,,,
Jun,Rail Containers Loaded,,,,,,,,,,,,,,,,,,
Jun,Total People,,40.027322,-10.439024,6.427015,-19.140225,12.088608,-2.823264,-47.821034,-17.371938,-52.695418,17.378917,-66.019417,-100,,-13.47032,-46.174142,56.372549,-100
Jun,Total Vehicles,,11.111111,-50,260,0,66.666667,150,-44,-61.904762,-75,-50,0,50,-66.666667,100,-100,,
Jun,Train Passengers,,,,,,,,,,,,,,,,,,
Jun,Trains,,,,,,,,,,,,,,,,,,
Jun,Truck Containers Empty,,,,,,,1100,-50,-50,-66.666667,-100,,,,,,,
Jun,Truck Containers Loaded,,,,,,,116.666667,-65.384615,-77.777778,-100,,-100,,,,,,
Jun,Trucks,,-33.333333,-33.333333,300,12.5,-16.666667,66.666667,-16,-61.904762,-75,-50,100,50,-66.666667,100,-100,,
Jul,Bus Passengers,,,,-100,,,,-100,,,,,,,,,,
Jul,Buses,,,,-100,,,,-100,,,,,,,,,,
Jul,Pedestrians,,,,,,,,,,,,,,,,,,
Jul,Personal Vehicle Passengers,,29.65709,-3.8599,29.219331,-23.01496,-7.847534,-5.109489,-34.358974,-44.270833,5.373832,-32.815965,-100,,-8.450704,-35.897436,-21.2,-6.598985,-100
Jul,Personal Vehicles,,23.214286,1.449275,18.412698,-26.675603,-8.226691,3.784861,-23.03263,-50.872818,2.030457,-28.855721,4.895105,10,6.666667,-18.75,-23.076923,0,-100
Jul,Rail Containers Empty,,,,,,,,,,,,,,,,,,
Jul,Rail Containers Loaded,,,,,,,,,,,,,,,,,,
Jul,Total People,,27.605812,-1.336634,24.636227,-24.114332,-7.95756,-1.729107,-31.43695,-46.5355,4.32,-31.595092,-66.367713,294,-4.230118,-30.565371,-21.882952,-4.234528,-100
Jul,Total Vehicles,,100,-33.333333,375,47.368421,35.714286,7.894737,43.902439,-83.050847,-60,0,50,-33.333333,-100,,-100,,
Jul,Train Passengers,,,,,,,,,,,,,,,,,,
Jul,Trains,,,,,,,,,,,,,,,,,,
Jul,Truck Containers Empty,,,,,,,300,-16.666667,-60,-50,0,50,-100,,,,,
Jul,Truck Containers Loaded,,,,,,,-56.25,185.714286,-95,-100,,,,,,,,
Jul,Trucks,,100,-50,533.333333,47.368421,-32.142857,10.526316,38.095238,-82.758621,-60,0,50,33.333333,-100,,-100,,
Aug,Bus Passengers,,-100,,,,,,,,,,,,,,,,
Aug,Buses,,-100,,,,,,,,,,,,,,,,
Aug,Pedestrians,,,,,,,,,,,,,,,,,,
Aug,Personal Vehicle Passengers,,46.332405,-24.238579,36.097152,-12.8,-6.139732,-6.466165,-46.543408,-43.458647,-100,,16.197183,-16.363636,-0.724638,-1.094891,-22.509225,-19.047619,-100
Aug,Personal Vehicles,,1.540832,-6.221548,27.184466,-17.430025,-19.568567,4.597701,-44.688645,-45.695364,-100,,0,3.448276,-9.333333,1.470588,-12.318841,-21.487603,-100
Aug,Rail Containers Empty,,,,,,,,,,,,,,,,,,
Aug,Rail Containers Loaded,,,,,,,,,,,,,,,,,,
Aug,Total People,,27.568493,-18.926174,33.057395,-14.309415,-10.35818,-3.347732,-45.977654,-44.157187,-100,,10.722611,-10.315789,-3.755869,-0.243902,-19.070905,-19.939577,-100
Aug,Total Vehicles,,-26.086957,-47.058824,255.555556,-18.75,-3.846154,32,3.030303,-58.823529,-28.571429,0,-20,-25,-66.666667,0,-100,,
Aug,Train Passengers,,,,,,,,,,,,,,,,,,
Aug,Trains,,,,,,,,,,,,,,,,,,
Aug,Truck Containers Empty,,,,,,,33.333333,100,-62.5,200,-100,,-100,,,,,
Aug,Truck Containers Loaded,,,,,,,30,-30.769231,-55.555556,-75,400,-80,-100,,,,,
Aug,Trucks,,-22.727273,-47.058824,255.555556,-18.75,-53.846154,33.333333,6.25,-58.823529,-100,,-20,50,-66.666667,0,-100,,
Sep,Bus Passengers,,,,,,,,,,,,,,,,,,
Sep,Buses,,,,,,,,,,,,,,,,,,
Sep,Pedestrians,,,,,,,,,,,,,,,,,,
Sep,Personal Vehicle Passengers,,19.062833,-11.717352,21.985816,-16.0299,-21.859545,41.012658,-50.987433,-57.509158,-24.568966,21.142857,9.433962,-100,,34.517766,-43.018868,7.284768,-100
Sep,Personal Vehicles,,-8.421053,-8.429119,20.711297,-19.237435,-21.030043,42.391304,-43.320611,-63.299663,-13.761468,42.553191,-15.671642,-100,,30.088496,-43.537415,10.843373,-100
Sep,Rail Containers Empty,,,,,,,,,,,,,,,,,,
Sep,Rail Containers Loaded,,,,,,,,,,,,,,,,,,
Sep,Total People,,8.681246,-10.670732,21.569966,-17.069062,-21.597833,41.450777,-48.534799,-59.549229,-21.11437,28.624535,-0.289017,-100,,32.903226,-43.203883,8.547009,-100
Sep,Total Vehicles,,-30,0,200,4.761905,-18.181818,466.666667,-71.568627,0,-72.413793,-12.5,-28.571429,-100,,-20,-75,600,-100
Sep,Train Passengers,,,,,,,,,,,,,,,,,,
Sep,Trains,,,,,,,,,,,,,,,,,,
Sep,Truck Containers Empty,,,,,,,1600,-73.529412,-55.555556,-25,-100,,-100,,,,,
Sep,Truck Containers Loaded,,,,,,,171.428571,-73.684211,120,-90.909091,-100,,,,,,,
Sep,Trucks,,-30,0,200,4.761905,-59.090909,444.444444,-69.387755,-6.666667,-71.428571,75,-57.142857,-100,,-20,-75,600,-100
Oct,Bus Passengers,,-100,,,,,,,,,,,,,,,,
Oct,Buses,,-100,,,,,,,,,,,,,,,,
Oct,Pedestrians,,,,,,,,,,,,,,,,,,
Oct,Personal Vehicle Passengers,,-17.026578,-1.501502,14.53252,-7.098492,-28.17574,10.239362,-52.472859,-37.309645,-0.809717,-14.285714,16.190476,-18.032787,-19.5,-11.801242,-22.535211,19.090909,-100
Oct,Personal Vehicles,,-20.846906,2.880658,6.6,-7.879925,-31.568228,17.559524,-45.063291,-44.239631,-16.528926,0.990099,7.843137,0.909091,-31.531532,15.789474,-26.136364,16.923077,-100
Oct,Rail Containers Empty,,,,,,,,,,,,,,,,,,
Oct,Rail Containers Loaded,,,,,,,,,,,,,,,,,,
Oct,Total People,,-19.468547,-0.06734,11.859838,-7.349398,-29.258778,12.5,-50.081699,-39.770867,-5.978261,-9.82659,13.461538,-12.146893,-23.794212,-2.953586,-23.913043,18.285714,-100
Oct,Total Vehicles,,-53.333333,185.714286,15,91.304348,-72.727273,558.333333,-68.35443,144,22.95082,-98.666667,5900,-96.666667,50,-66.666667,-100,,-100
Oct,Train Passengers,,,,,,,,,,,,,,,,,,
Oct,Trains,,,,,,,,,,,,,,,,,,
Oct,Truck Containers Empty,,,,,,,200,-77.777778,200,-50,-100,,-100,,,,,
Oct,Truck Containers Loaded,,,,,,,,-57.142857,111.111111,73.684211,-100,,-96.551724,-100,,,,
Oct,Trucks,,-50,185.714286,15,91.304348,-86.363636,566.666667,-70,150,20,-97.222222,2900,-96.666667,200,-66.666667,-100,,-100
Nov,Bus Passengers,,,,,,,,,,,,,,,,,,
Nov,Buses,,,,,,,,,,,,,,,,,,
Nov,Pedestrians,,,,,,,,,,,,,,,,,,
Nov,Personal Vehicle Passengers,,19.458763,-24.919094,53.87931,-36.507937,4.852941,5.189341,-59.866667,-23.255814,-36.796537,6.164384,-100,,-21.808511,-18.367347,-18.333333,-16.326531,-100
Nov,Personal Vehicles,,9.375,-22.857143,52.469136,-31.983806,-6.25,25.079365,-60.659898,-30.967742,-20.560748,-15.294118,-100,,3.658537,-11.764706,-20,-3.333333,-100
Nov,Rail Containers Empty,,,,,,,,,,,,,,,,,,
Nov,Rail Containers Loaded,,,,,,,,,,,,,,,,,,
Nov,Total People,,16.12069,-24.276169,53.431373,-35.079872,1.181102,11.284047,-60.13986,-25.877193,-31.656805,-1.731602,-100,,-14.074074,-15.948276,-18.974359,-11.392405,-100
Nov,Total Vehicles,,-50,-25,566.666667,-60,37.5,227.272727,-55.555556,128.125,-94.520548,-100,,-66.666667,-85.714286,750,-41.176471,70,-100
Nov,Train Passengers,,,,,,,,,,,,,,,,,,
Nov,Trains,,,,,,,,,,,,,,,,,,
Nov,Truck Containers Empty,,,,,,,228.571429,-82.608696,-100,,-100,,-50,-100,,,,
Nov,Truck Containers Loaded,,,,,,,225,-7.692308,200,-100,,,-68.421053,-100,,,,
Nov,Trucks,,-50,-25,566.666667,-60,-31.25,227.272727,-55.555556,131.25,-94.594595,-100,,-66.666667,-71.428571,750,-41.176471,70,-100
